district_num,general_loc
1,"Raffles Place, Cecil, Marina, People's Park"
2,"Anson, Tanjong Pagar"
3,"Queenstown, Tiong Bahru"
4,"Telok Blangah, Harbourfront"
5,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
6,"High Street, Beach Road (part)"
7,"Middle Road, Golden Mile"
8,Little India
9,"Orchard, Cairnhill, River Valley"
10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
11,"Watten Estate, Novena, Thomson"
12,"Balestier, Toa Payoh, Serangoon"
13,"Macpherson, Braddell"
14,"Geylang, Eunos"
15,"Katong, Joo Chiat, Amber Road"
16,"Bedok, Upper East Coast, Eastwood, Kew Drive"
17,"Loyang, Changi"
18,"Tampines, Pasir Ris"
19,"Serangoon Garden, Hougang, Punggol"
20,"Bishan, Ang Mo Kio"
21,"Upper Bukit Timah, Clementi Park, Ulu Pandan"
22,Jurong
23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
24,"Lim Chu Kang, Tengah"
25,"Kranji, Woodgrove"
26,"Upper Thomson, Springleaf"
27,"Yishun, Sembawang"
28,Seletar
