,BusStopCode,RoadName,Description,Latitude,Longitude
0,00481,Woodlands Rd,BT PANJANG TEMP BUS PK,1.383764,103.7583
1,01012,Victoria St,Hotel Grand Pacific,1.29684825487647,103.85253591654006
2,01013,Victoria St,St. Joseph's Ch,1.29770970610083,103.8532247463225
3,01019,Victoria St,Bras Basah Cplx,1.29698951191332,103.85302201172507
4,01029,Nth Bridge Rd,Cosmic Insurance Bldg,1.2966729849642,103.85441422464267
5,01039,Nth Bridge Rd,Nth Bridge Commercial Cplx,1.29820784139683,103.85549139837407
6,01059,Victoria St,Bugis Stn Exit B,1.30075679526626,103.85611040457583
7,01109,Queen St,Queen St Ter,1.30358577565355,103.85650372998224
8,01112,Victoria St,Opp Bugis Junction,1.30009212839081,103.85520027125814
9,01113,Victoria St,Bugis Stn Exit A,1.30117297541547,103.8561140106393
10,01119,Victoria St,Bugis Junction,1.2996041093804,103.85512934079571
11,01121,Victoria St,Stamford Pr Sch,1.30393809691048,103.85867999243207
12,01129,Victoria St,Opp Stamford Pr Sch,1.30350269187301,103.85864530718491
13,01139,Nth Bridge Rd,Parkview Sq,1.30033057855542,103.85716080665901
14,01211,Victoria St,Opp Blk 461,1.30551803523268,103.8605449516032
15,01219,Victoria St,Blk 461,1.30526598535719,103.86072019914616
16,01229,Nth Bridge Rd,Bef Sultan Mque,1.30337552638813,103.85963089198265
17,01231,Jln Sultan,Opp Textile Ctr,1.3032499999752,103.8610830559663
18,01239,Jln Sultan,Sultan Plaza,1.30291236608351,103.86161817611134
19,01311,Kallang Rd,Lavender Stn Exit B,1.3070916463394,103.86219695240973
20,01319,Kallang Rd,Lavender Stn Exit A/ICA,1.30757426746418,103.86325596123476
21,01329,Nth Bridge Rd,Blk 8,1.30495670239172,103.86363028484124
22,01339,Crawford St,Bef Crawford Bridge,1.30774601733202,103.8642627465441
23,01341,Crawford St,Southbank,1.30647555600578,103.86452527798744
24,01349,Crawford St,Opp Blk 4,1.30568635716829,103.86543994417883
25,01411,Beach Rd,Opp St. John HQ,1.30211332865049,103.86295598167331
26,01419,Beach Rd,St. John HQ,1.3020199999911,103.86326333301203
27,01421,Beach Rd,Opp Golden Mile Cplx,1.30338444400173,103.86483888898641
28,01429,Beach Rd,Golden Mile Cplx,1.3032136089394,103.86501584807763
29,01511,Beach Rd,Opp The Gateway,1.29919826103807,103.85864518302436
30,01519,Beach Rd,The Gateway,1.29907492488417,103.8589102973441
31,01521,Beach Rd,Opp Plaza Parkroyal,1.30088304437602,103.86066098182194
32,01529,Beach Rd,Plaza Parkroyal,1.30041667676526,103.86044115259938
33,01541,Rochor Rd,Bugis Stn Exit D,1.29886465442254,103.85734583628746
34,01549,Ophir Rd,Opp Duo Residences,1.30069868861162,103.85873120467069
35,01559,Ophir Rd,Landmark Village Hotel,1.30168731070562,103.85752923961614
36,01611,Beach Rd,Raffles Hotel,1.29527259171342,103.85533686181174
37,01619,Beach Rd,Esplanade Stn Exit F,1.29428694178246,103.85503809424233
38,01621,Beach Rd,Opp Shaw Twrs,1.29695888888745,103.85655611109846
39,01629,Beach Rd,Shaw Twrs,1.29695972219958,103.85686527780177
40,01631,Middle Rd,Aft Beach Rd,1.29693614589482,103.85580555528077
41,01639,Middle Rd,Bef Beach Rd,1.29738750001468,103.85557583297624
42,02029,Connaught Dr,Opp S'pore Cricket Club,1.28879015142476,103.85293318066766
43,02049,Bras Basah Rd,Raffles Hotel,1.29452091230981,103.85402155505173
44,02051,Raffles Ave,Seating Gallery,1.2895030556082,103.85903388899317
45,02061,Raffles Ave,The Esplanade,1.2899638888957,103.85640388886262
46,02089,Raffles Blvd,Pan Pacific Hotel,1.29152694444975,103.8592061110504
47,02099,Raffles Blvd,Marina Ctr Ter,1.29147264805943,103.86148558380779
48,02101,Raffles Ave,AFT S'PORE FLYER,1.28938483786533,103.86183148116275
49,02111,Esplanade Dr,Esplanade Bridge,1.29095592348389,103.85453419435228
50,02119,Nicoll Highway,Opp War Memorial Pk,1.29184407356581,103.85534334305085
51,02141,Temasek Blvd,Suntec Twr Two,1.29576571603037,103.85933814632858
52,02149,Temasek Blvd,Suntec Twr Three,1.29560459817725,103.85955533029184
53,02151,Temasek Blvd,Suntec Convention Ctr,1.29317776320814,103.85784623004031
54,02159,Temasek Blvd,Opp Suntec Convention Ctr,1.29360811227161,103.85840672828635
55,02161,Temasek Ave,Promenade Stn,1.29268553508737,103.86093156188176
56,02169,Temasek Ave,Promenade Stn Exit B,1.29333836780589,103.86070849052753
57,02171,Temasek Ave,Opp The Ritz-Carlton,1.29070000003898,103.86092194446034
58,02181,Parliament Pl,Supreme Ct,1.28947444402148,103.85098166700017
59,03011,Fullerton Rd,Fullerton Sq,1.28561840945474,103.85342223246427
60,03019,Collyer Quay,OUE Bayfront,1.284245000013,103.85310805599599
61,03021,Cecil St,Prudential Twr,1.28255524603003,103.84998903789258
62,03031,Robinson Rd,Raffles Pl Stn Exit F,1.28207492207952,103.85086074925066
63,03041,Cross St,Telok Ayer Stn Exit A,1.28179509394707,103.84893207391676
64,03059,Raffles Quay,One Raffles Quay,1.28097649556002,103.85135652579491
65,03071,Robinson Rd,OPP SO SOFITEL S'PORE,1.27990609626764,103.84940030424481
66,03111,Robinson Rd,Aft Capital Twr,1.2778259536079,103.8481011719729
67,03129,Shenton Way,UIC Bldg,1.27807003532092,103.84956718123823
68,03151,Cecil St,Opp GB Bldg,1.27892124625262,103.84776234627124
69,03217,Shenton Way,Opp AXA Twr,1.27552218897645,103.8479443674916
70,03218,Shenton Way,Opp MAS Bldg,1.2740788888387,103.84687388890413
71,03222,Anson Rd,Hub Synergy Pt,1.27397836925637,103.84489562922414
72,03223,Anson Rd,Tanjong Pagar Stn Exit C,1.2757033952327,103.84632468221952
73,03239,Shenton Way,Shenton Way Ter,1.27464226961973,103.84756721372408
74,03241,Anson Rd,Mapletree Anson,1.27456,103.84537
75,03331,Marina Blvd,Bef Marina Gdns Dr,1.27663307202767,103.86076808024792
76,03339,Central Blvd,Aft Marina Gdns Dr,1.27498516412784,103.85950016250487
77,03341,Marina Gdns Dr,Bef Gdns by the Bay,1.27959780011944,103.8643376844082
78,03349,Marina Gdns Dr,Aft Gdns by the Bay,1.27965600609923,103.8647780795552
79,03369,Marina Gdns Dr,Marina Barrage,1.27960772061959,103.8698744774074
80,03371,Marina Gdns Dr,Gdns by the Bay,1.28066479303461,103.86626955523418
81,03381,Marina Blvd,The Sail,1.28162601329006,103.85306513725685
82,03391,Marina Blvd,Marina Bay Financial Ctr,1.28037660340352,103.85498006767988
83,03411,Marina Coastal Dr,Opp Marina Sth Pier,1.27159299884076,103.86300900488229
84,03419,Marina Coastal Dr,Marina Sth Pier,1.27127698470973,103.86297693157816
85,03421,Marina Coastal Dr,Marina Bay Cruise Ctr,1.26694090294712,103.85964778134667
86,03501,Bayfront Ave,Marina Bay Sands Theatre,1.28500467671367,103.8606110538643
87,03509,Bayfront Ave,Bayfront Stn Exit B/MBS,1.28314999997332,103.86004388891767
88,03511,Bayfront Ave,Aft Bayfront Stn Exit E,1.28194779470571,103.85897064872482
89,03519,Bayfront Ave,Bayfront Stn Exit A,1.28124500000125,103.85884799997385
90,03529,Central Blvd,Downtown Stn,1.27939957419063,103.85278769921703
91,03539,Central Blvd,Marina Bay Stn,1.2775330547661,103.85561610012866
92,04019,Bencoolen St,OPP BENCOOLEN STN EXIT B,1.29807216909408,103.84975607305783
93,04029,Bencoolen St,BEF BENCOOLEN STN EXIT A,1.29948166696821,103.85092666701239
94,04111,Stamford Rd,Capitol Bldg,1.29395444170081,103.85139096636622
95,04121,Stamford Rd,SMU,1.29618544092334,103.84958029974611
96,04142,Hill St,Armenian Ch,1.2930982644668,103.84965994500728
97,04143,Hill St,Stamford Ct,1.29411640848293,103.85020606905503
98,04149,Hill St,Grand Pk City Hall,1.29276132399953,103.84983741344308
99,04151,Victoria St,Cath Of The Good Shepherd,1.29533777799211,103.85113972198121
100,04159,Victoria St,Aft Chijmes,1.29489484954945,103.85108138663934
101,04167,Nth Bridge Rd,City Hall Stn Exit B,1.29250006522444,103.85145315468638
102,04168,Nth Bridge Rd,Aft City Hall Stn Exit B,1.29208221483052,103.85125994680256
103,04179,Bras Basah Rd,AFT BRAS BASAH STN EXIT A,1.29647916306741,103.85147164487202
104,04211,River Valley Rd,Clarke Quay,1.29043611099357,103.84712444398055
105,04219,River Valley Rd,Opp Clarke Quay,1.29096802754795,103.84686777836987
106,04222,Eu Tong Sen St,Clarke Quay Stn Exit E,1.28898962180798,103.84708976365569
107,04223,Hill St,Old Hill St Police Stn,1.29084476137495,103.84857901022669
108,04229,Hill St,High St Ctr,1.29044830830726,103.84875123545265
109,04239,New Bridge Rd,Clarke Quay Stn,1.28882717929599,103.8474938118651
110,04249,Nth Bridge Rd,Opp The Treasury,1.29043039362749,103.85026216508201
111,04251,Nth Boat Quay,Opp High St Ctr,1.28973833297563,103.84888472198024
112,04311,Clemenceau Ave,Aft River Valley Rd,1.29464575337351,103.8439214229312
113,04321,Clemenceau Ave,Shell HSE,1.2921400077773,103.84303646191061
114,04329,Clemenceau Ave,Opp Shell HSE,1.29197057108024,103.84328384973516
115,04331,River Valley Rd,BEF FORT CANNING STN,1.29183939431601,103.84504089382705
116,04339,River Valley Rd,FORT CANNING STN EXIT B,1.29221099996741,103.84500500002959
117,05009,Nth Canal Rd,Opp OCBC Ctr,1.28592554082489,103.84923642965272
118,05012,Eu Tong Sen St,Bef Pearl'S Hill Terr,1.28154583300728,103.84087722199499
119,05013,Eu Tong Sen St,People's Pk Cplx,1.28406979945936,103.84299874303983
120,05019,New Bridge Rd,Aft Pearl'S Hill Terr,1.28118388885484,103.84105000000471
121,05022,Eu Tong Sen St,People's Pk Ctr,1.28571089865595,103.84437203405348
122,05023,Eu Tong Sen St,Opp Hong Lim Pk,1.28692928357498,103.84540375642477
123,05029,Sth Bridge Rd,Boat Quay,1.28712283362119,103.84819780822524
124,05039,New Bridge Rd,New Bridge Ctr,1.28293819129834,103.84254276754574
125,05049,New Bridge Rd,Chinatown Pt,1.28531114761754,103.84455070696784
126,05059,New Bridge Rd,Hong Lim Pk,1.28676420118491,103.84575036447065
127,05069,New Bridge Rd,Outram Pk Stn Exit H,1.28027629959632,103.84029791443083
128,05129,Upp Pickering St,Hong Lim Pk,1.28601166699569,103.84634666701143
129,05131,Upp Cross St,Opp Hong Lim Cplx,1.284073056,103.8453381
130,05189,Sth Bridge Rd,Opp Sri Mariamman Tp,1.2820913960391,103.84528061446953
131,05199,Sth Bridge Rd,Opp Hong Lim Cplx,1.28451455846092,103.84666049314171
132,05239,Neil Rd,Bef The Pinnacle@Duxton,1.27854113014976,103.8415105424013
133,05241,Kreta Ayer Rd,Opp Blk 333,1.28071988238536,103.84227488654868
134,05259,Neil Rd,Aft Kreta Ayer Rd,1.27979447837032,103.84262707605177
135,05269,Sth Bridge Rd,Maxwell Rd FC,1.28097747304602,103.84460051710637
136,05271,Tg Pagar Rd,Opp Fairfield Meth Ch,1.27975329525167,103.84382212419122
137,05319,Church St,OCBC Ctr,1.28449667301849,103.84908685850282
138,05411,Tg Pagar Rd,Tg Pagar Plaza,1.27519165673078,103.84309190393883
139,05419,Tg Pagar Rd,The Amara,1.27470669455555,103.84318683838887
140,05421,Tg Pagar Rd,Aft Craig Rd,1.27777470568529,103.84346347289251
141,05429,Tg Pagar Rd,Bef Craig Rd,1.27769413050075,103.84370654372525
142,05519,Cantonment Rd,Opp Maritime Hse,1.27553472200739,103.84112694400494
143,05521,Cantonment Rd,Maritime Hse,1.27676861098316,103.84059222200347
144,05629,Cantonment Rd,Opp Southpoint,1.273211389,103.84187
145,05631,Cantonment Link,Blk 16,1.27346055934188,103.84034718190608
146,05641,Keppel Rd,Customs Port Br HQ,1.27272393115133,103.84140618785226
147,05649,Keppel Rd,Opp Customs Port Br HQ,1.2723842122117,103.84093912218094
148,05651,Tg Pagar Rd,Opp Fuji Xerox Twrs,1.273218611,103.8430731
149,06011,Outram Rd,Opp Outram Pk Stn,1.28165999996967,103.83801388886192
150,06029,Outram Rd,Outram Pk Stn,1.28177041153491,103.8383828488293
151,06031,Chin Swee Rd,Opp Blk 13,1.28607055552165,103.83879166662209
152,06039,Chin Swee Rd,Blk 8,1.28705997883119,103.83962555611693
153,06049,Outram Rd,BEF OUTRAM FLYOVER,1.28474856880259,103.83517705055233
154,06051,Tiong Bahru Rd,Blk 55,1.28475980959972,103.83405671725487
155,06069,Outram Rd,Aft Furama RiverFront,1.28623157720487,103.83496162445665
156,06071,Zion Rd,Blk 2B,1.28685859481289,103.83360028266564
157,06081,Zion Rd,Blk 94,1.28837086415387,103.83349881780524
158,06129,Kim Seng Rd,Grand Copthorne Hotel,1.29078162052352,103.83440916705554
159,06131,Zion Rd,The Boys' Brigade HQ,1.29152472200833,103.83222750001508
160,06141,Havelock Rd,Holiday Inn Atrium,1.28963300933974,103.83381241921823
161,06149,Havelock Rd,Opp Holiday Inn Atrium,1.28984045728104,103.83411526676929
162,06151,Havelock Rd,Hotel Miramar,1.28870976841461,103.83737276969174
163,06159,Havelock Rd,Opp Hotel Miramar,1.28909385421188,103.8368794036018
164,06161,Havelock Rd,Blk 2,1.28901705678419,103.83994286096711
165,06169,Havelock Rd,River Pl Condo,1.28937078931125,103.83998944937589
166,06171,Upp Cross St,Opp State Ct,1.286101944,103.8425356
167,06189,Havelock Rd,Ctrl Sq,1.28779136477868,103.84329428089559
168,07011,Selegie Rd,Peace Ctr,1.30099699058522,103.8498101874305
169,07021,Selegie Rd,Selegie Ctr,1.30324521574524,103.84995776766847
170,07031,S'goon Rd,Tekka Ctr,1.30572083298412,103.85120583303191
171,07111,S'goon Rd,Broadway Hotel,1.30879366465919,103.8531751994068
172,07211,S'goon Rd,Aft Farrer Pk Stn Exit G,1.31313747728456,103.8563561439714
173,07221,S'goon Rd,Sri Vadapathira K Tp,1.31503278656775,103.85788270432104
174,07231,Kitchener Rd,Bef Tai Hoe Hotel,1.309658889,103.8573711
175,07241,Lavender St,Bef S'Goon Rd,1.31557142083242,103.85900616698896
176,07249,Lavender St,Aft Kempas Rd,1.315368056,103.8594669
177,07319,Jln Besar,Aft Allenby Rd,1.31038833299803,103.85870666696984
178,07329,Jln Besar,Hoa Nam Bldg,1.31284472583438,103.85989088288474
179,07331,Kitchener Rd,Aft King George's Ave,1.30824994545395,103.8589096071918
180,07351,Lavender St,ARC 380,1.31351833300073,103.86054527803076
181,07359,Lavender St,OPP ARC 380,1.31368253065979,103.86071451807119
182,07361,Lavender St,Bef Kallang Bahru,1.31167636068313,103.86189483728585
183,07369,Lavender St,Aft Kallang Bahru,1.31140805601851,103.86237888899062
184,07371,Lavender St,Aft Kallang Rd,1.30950750000455,103.86350138902452
185,07379,Lavender St,Bef Kallang Rd,1.31017336740849,103.86338225534827
186,07419,Jln Besar,Opp Veerasamy Rd,1.30653024120879,103.8561630249311
187,07517,Bencoolen St,IBIS S'PORE ON BENCOOLEN,1.30145216158073,103.85247781934106
188,07518,Bencoolen St,OPP NAFA CAMPUS 3,1.30095828368506,103.85211175034802
189,07529,Jln Besar,JLN BESAR STN EXIT A,1.30431906266143,103.85501564257024
190,07531,Rochor Canal Rd,Rochor Stn,1.30365644370093,103.8525732326128
191,07539,Sungei Rd,Opp Rochor Stn,1.30461300741211,103.8520009720951
192,07551,Rochor Rd,Fu Lu Shou Cplx,1.30171975809706,103.8546132267025
193,07561,Middle Rd,Bef Waterloo St,1.29945446471936,103.85267983857253
194,07569,Middle Rd,Aft Waterloo St,1.29949531348401,103.85301395376233
195,07571,Middle Rd,SUNSHINE PLAZA,1.30063444632288,103.85114009314601
196,07589,Ophir Rd,Opp Rochor Ctr,1.30320609782822,103.85549999983388
197,08011,Clemenceau Ave,Opp Haw Par Glass Twr,1.29706985017362,103.84361028672502
198,08019,Clemenceau Ave,Aft Haw Par Glass Twr,1.29624633745957,103.84407009228418
199,08031,Penang Rd,Dhoby Ghaut Stn,1.29831153783592,103.8452569595532
200,08041,Orchard Rd,YMCA,1.29811014243867,103.84780636909545
201,08057,Orchard Rd,Dhoby Ghaut Stn,1.29930997279734,103.84529021429745
202,08058,Orchard Rd,Aft Dhoby Ghaut Stn,1.2989583431631,103.84654115271174
203,08069,Bras Basah Rd,BENCOOLEN STN EXIT B,1.29821382250893,103.84936128375956
204,08079,Prinsep St,Sch of the Arts,1.29921444445586,103.84910329217985
205,08111,Penang Rd,Winsland Hse,1.29986928715834,103.84093746088925
206,08121,Somerset Rd,Somerset Stn,1.30027569326586,103.83877618459663
207,08137,Orchard Rd,Orchard Plaza,1.30073968408393,103.84100500816844
208,08138,Orchard Rd,Concorde Hotel S'pore,1.3004785730821,103.84184700607595
209,09011,Orchard Turn,Opp Ngee Ann City,1.30211335092372,103.83431672376756
210,09022,Orchard Blvd,Bef Orchard Stn Exit B,1.30252834773643,103.83239784275958
211,09023,Orchard Turn,Opp Orchard Stn/ION,1.30323727330942,103.83254180023424
212,09037,Orchard Rd,Opp Mandarin Orchard,1.3023400420296,103.83701253388183
213,09038,Orchard Rd,Opp Somerset Stn,1.30154262450563,103.83852481842337
214,09047,Orchard Rd,Orchard Stn/Tang Plaza,1.30446065207443,103.83294467208566
215,09048,Orchard Rd,Orchard Stn/Lucky Plaza,1.30386684425114,103.83413070051408
216,09059,Grange Rd,Natl Youth Council,1.30044251755834,103.83623804216019
217,09111,Orchard Blvd,Opp Four Seasons Hotel,1.30453752623147,103.82914529614989
218,09121,Orchard Blvd,Bef Tomlinson Rd,1.30397379238249,103.82699645124522
219,09131,Grange Rd,Grange Residences,1.30391999998489,103.82333805603095
220,09139,Grange Rd,Aft Cuscaden Rd,1.30419941874773,103.82354787581355
221,09141,Napier Rd,British Council,1.30543500002797,103.82177666702269
222,09149,Napier Rd,Opp British Council,1.30608981381948,103.8212215023314
223,09159,Tanglin Rd,Aft Tomlinson Rd,1.30602637557418,103.82568042620605
224,09169,Orchard Rd,Delfi Orchard,1.3070135326348,103.82835507326037
225,09179,Orchard Rd,Royal Thai Embassy,1.30587966240898,103.83049004618626
226,09191,Tomlinson Rd,The Regent S'pore,1.30488653118311,103.82549755834486
227,09212,Scotts Rd,Royal Plaza On Scotts,1.30702238421536,103.83265522662566
228,09213,Scotts Rd,Thong Teck Bldg,1.30783805600034,103.83305083303023
229,09219,Scotts Rd,Far East Plaza,1.30731999685228,103.83316088291699
230,10009,Bt Merah Ctrl,Bt Merah Int,1.28210155945393,103.81722480263163
231,10011,New Bridge Rd,BEF NEIL RD,1.2777380589964,103.83749709165197
232,10017,Eu Tong Sen St,Aft Hosp Dr,1.27832046633393,103.83762574759974
233,10018,Eu Tong Sen St,Outram Pk Stn Exit F/SGH,1.27900819665099,103.83860360621959
234,10021,Neil Rd,Blk 3,1.27744837946643,103.83838894560753
235,10041,Kg Bahru Rd,BEF KAMPONG BAHRU TER,1.27605834770353,103.83519065305671
236,10049,Kg Bahru Rd,OPP KAMPONG BAHRU TER,1.27623302424393,103.83483786772155
237,10051,Jln Bt Merah,Blk 149,1.2774116353284,103.83214410914843
238,10059,Jln Bt Merah,Opp Blk 149,1.27739664167497,103.83275178077875
239,10061,Jln Bt Merah,Blk 140,1.27860472196885,103.82948638898173
240,10069,Jln Bt Merah,Opp Blk 140,1.27855472196877,103.83008250001669
241,10071,Jln Bt Merah,Blk 111,1.28045309423663,103.82638920754815
242,10079,Jln Bt Merah,Blk 201,1.2803950142786,103.82708906887606
243,10081,Jln Bt Merah,Opp Blk 120,1.2822783541702,103.82241744338572
244,10089,Jln Bt Merah,Blk 119,1.28292332245689,103.82165660905856
245,10091,Jln Bt Merah,Bt Merah Town Ctr,1.28394108576437,103.81783962251122
246,10099,Jln Bt Merah,Opp Bt Merah Town Ctr,1.28420923932422,103.81765723225827
247,10101,Jln Bt Merah,OPP BT MERAH SEC SCH,1.28506195168861,103.8137833011436
248,10109,Jln Bt Merah,BT MERAH SEC SCH,1.28535315729277,103.81370529674271
249,10111,Jln Bt Merah,Opp Blk 28,1.28592835098556,103.80935410958449
250,10119,Jln Bt Merah,Opp Pacific Tech Ctr,1.28598009010704,103.81122515087834
251,10121,Kim Tian Rd,Blk 126 CP,1.28259924598805,103.82890541983913
252,10129,Kim Tian Rd,Blk 121,1.28231999999009,103.8285719444802
253,10131,Jln Bt Merah,Opp Blk 2,1.28619141382394,103.80686549059318
254,10139,Jln Bt Merah,Blk 1,1.28635135443034,103.8081000223439
255,10141,Tiong Bahru Rd,Blk 18,1.28583847140468,103.83238179897589
256,10149,Tiong Bahru Rd,Blk 1,1.28606797463712,103.83283384311112
257,10151,Tiong Bahru Rd,Ctrl Green Condo,1.28572048365401,103.8285292287095
258,10161,Tiong Bahru Rd,Opp Tiong Bahru Stn,1.28593135445772,103.82668969231534
259,10169,Tiong Bahru Rd,Tiong Bahru Stn,1.28599961406266,103.82748123930962
260,10171,Tiong Bahru Rd,Opp Tiong Bahru Pk,1.28736808047078,103.82346004890803
261,10179,Tiong Bahru Rd,Tiong Bahru Pk,1.28722333302937,103.82395833301354
262,10181,Tiong Bahru Rd,BEF AR-RABITAH MQUE,1.28850399420484,103.82109741719866
263,10189,Tiong Bahru Rd,Blk 104A CP,1.28858805222806,103.82183192865197
264,10191,Tiong Bahru Rd,Blk 78,1.28860026020096,103.81903121724014
265,10199,Tiong Bahru Rd,Delta Swim Cplx,1.28875723330649,103.81936618662205
266,10201,Tiong Bahru Rd,Opp Redhill Stn,1.28928144532567,103.81662854691157
267,10209,Tiong Bahru Rd,Redhill Stn,1.28954631749853,103.81672885450702
268,10211,Leng Kee Rd,Porsche Ctr S'pore,1.29075499997303,103.81144166700754
269,10219,Leng Kee Rd,Opp Motor Image,1.29089526651849,103.81191424883255
270,10221,Ganges Ave,Ganges Ctr,1.29032906602668,103.83111793441608
271,10229,Ganges Ave,Opp Harvest Mans,1.29052137840164,103.83178189529583
272,10231,Ganges Ave,Blk 51 CP,1.29041850946952,103.82788100149519
273,10239,Ganges Ave,Blk 79,1.29060688839488,103.82865297447873
274,10241,Alexandra Rd,Gan Eng Seng Sec Sch,1.2906166672167,103.82362326803131
275,10249,Alexandra Rd,Opp Gan Eng Seng Sec Sch,1.29088138899671,103.82407777797806
276,10261,Alexandra Rd,Delta Sports Hall,1.29090335842692,103.82047232884216
277,10269,Alexandra Rd,Opp Delta Sports Hall,1.29125331927458,103.82057583280772
278,10271,Alexandra Rd,Opp Tanglin View,1.29115999997607,103.81757666701353
279,10279,Alexandra Rd,Tanglin View,1.29151373164978,103.81757660887743
280,10281,Alexandra Rd,SIS Bldg,1.29153833298318,103.81445166697797
281,10289,Alexandra Rd,Opp SIS Bldg,1.2918699745378,103.81440639448375
282,10291,Alexandra Rd,Bef Dawson Rd,1.29215855273858,103.81065866068086
283,10299,Alexandra Rd,Aft Dawson Rd,1.29233498466278,103.81146486767658
284,10321,Tanglin Rd,Aft Margaret Dr,1.29428332949691,103.81587839882768
285,10329,Tanglin Rd,Crescent Girls' Sch,1.29364671283262,103.81597460107542
286,10331,Henderson Rd,Bef Bt Merah Ctrl,1.28136306628839,103.81834423228645
287,10339,Henderson Rd,Aft Bt Merah Ctrl,1.28115835063292,103.81857250844851
288,10341,Henderson Rd,Opp Blk 116,1.28484639603431,103.82059301467888
289,10349,Henderson Rd,Blk 116,1.2849833405097,103.82104149555396
290,10351,Henderson Rd,Bef Tiong Bahru Rd,1.28675501760897,103.82204990181914
291,10359,Henderson Rd,Aft Tiong Bahru Rd,1.28723833324362,103.82259298997768
292,10361,Lower Delta Rd,Cendex Ctr,1.28038092060065,103.82353025808791
293,10369,Lower Delta Rd,Opp Cendex Ctr,1.28037471151153,103.82387343933006
294,10371,Lower Delta Rd,Blk 129,1.28365072319387,103.824502653383
295,10379,Lower Delta Rd,Blk 25B,1.28373603376667,103.82489520929732
296,10381,Lower Delta Rd,Opp Blk 48,1.28906972186602,103.82559411728036
297,10389,Lower Delta Rd,Blk 48,1.28875832991208,103.82573455047122
298,10391,Kg Bahru Rd,Opp Melati Blk 2,1.27627105343758,103.8312563936613
299,10399,Kg Bahru Rd,Melati Blk 2,1.27588166292683,103.83019454205221
300,10401,Hoy Fatt Rd,Shriro Hse,1.28816729863,103.81167850401884
301,10409,Hoy Fatt Rd,Blk 50,1.28788221830638,103.81099317775703
302,10411,Hoy Fatt Rd,Opp Blk 53,1.28912979528004,103.81280840030111
303,10419,Hoy Fatt Rd,Blk 52,1.28842024220748,103.81257549749508
304,10421,Lengkok Bahru,Blk 63B,1.2889706156154,103.81503540991777
305,10429,Lengkok Bahru,Blk 54,1.2892779060127,103.81404805422201
306,10431,Lengkok Bahru,ENABLING VILLAGE,1.28708384358883,103.81399869917512
307,10439,Lengkok Bahru,OPP ENABLING VILLAGE,1.28747956947939,103.81418936580334
308,10441,Lengkok Bahru,Opp Blk 44,1.28656898930199,103.8116061687213
309,10449,Lengkok Bahru,Blk 44,1.28666552495266,103.81195378046979
310,10451,Redhill Rd,Opp Blk 71,1.28762380319765,103.8172559639682
311,10459,Redhill Rd,Blk 72,1.28754723360397,103.81639920301684
312,10461,Kay Siang Rd,Aft Margaret Dr,1.29680597432594,103.81169140516062
313,10469,Kay Siang Rd,Bef Margaret Dr,1.29668400003303,103.81216918970023
314,10471,Kay Siang Rd,Bef Tanglin Rd,1.29679993078344,103.81468220659576
315,10479,Kay Siang Rd,Aft Tanglin Rd,1.29668100002552,103.81547381025995
316,10481,Redhill Cl,Opp Blk 73,1.28784195484767,103.81797160113335
317,10489,Redhill Cl,Blk 73,1.28811638897142,103.81778388900163
318,10499,Spooner Rd,KAMPONG BAHRU TER,1.27585400417691,103.83401000002084
319,10501,Jln Bt Merah,Blk 104,1.28105845355429,103.82528065411316
320,10519,Delta Rd,Blk 4,1.29172303079906,103.82610949356565
321,10599,Jln Rumah Tinggi,Opp Blk 36,1.28883435010664,103.80924997344987
322,10651,Bt Merah Ctrl,Blk 161,1.28329993019059,103.81547665017668
323,10659,Bt Merah Ctrl,Blk 1003,1.28362333298689,103.81472833301791
324,11009,Ghim Moh Rd,Ghim Moh Ter,1.3110673548964,103.78932237623975
325,11019,Jln Bt Merah,Pk Hotel Alexandra,1.28679632523156,103.80565677295323
