,OBJECTID,STN_NAME,STN_NO,geometry,Latitude,Longitude
0,1,EUNOS MRT STATION,EW7,POINT (103.9032524667383 1.319778951553637),1.3197789515536371,103.90325246673828
1,2,CHINESE GARDEN MRT STATION,EW25,POINT (103.7325967380734 1.342352820874744),1.3423528208747444,103.73259673807337
2,3,KHATIB MRT STATION,NS14,POINT (103.8329799077383 1.417383370153547),1.4173833701535468,103.83297990773832
3,4,KRANJI MRT STATION,NS7,POINT (103.7621654109002 1.425177698770448),1.4251776987704483,103.76216541090021
4,5,REDHILL MRT STATION,EW18,POINT (103.816816670149 1.289562726402453),1.2895627264024532,103.81681667014902
5,6,YEW TEE MRT STATION,NS5,POINT (103.7474051141379 1.397535017793412),1.3975350177934123,103.74740511413793
6,7,PIONEER MRT STATION,EW28,POINT (103.6973215129361 1.337586882204749),1.3375868822047494,103.69732151293607
7,8,COMMONWEALTH MRT STATION,EW20,POINT (103.798304515629 1.30243873532717),1.3024387353271702,103.79830451562897
8,9,PAYA LEBAR MRT STATION,EW8/CC9,POINT (103.8930603552516 1.318112082295278),1.318112082295278,103.8930603552516
9,10,SIMEI MRT STATION,EW3,POINT (103.9533716941757 1.343202894930727),1.343202894930727,103.95337169417571
10,11,TAMPINES MRT STATION,EW2/DT32,POINT (103.945148688649 1.353301356342435),1.3533013563424345,103.94514868864901
11,12,ADMIRALTY MRT STATION,NS10,POINT (103.8009880008123 1.440585001085411),1.4405850010854107,103.80098800081232
12,13,YISHUN MRT STATION,NS13,POINT (103.8350050461946 1.429443080810801),1.4294430808108005,103.8350050461946
13,14,PASIR RIS MRT STATION,EW1,POINT (103.9492681182454 1.37298377357949),1.3729837735794899,103.94926811824541
14,15,CLEMENTI MRT STATION,EW23,POINT (103.7652988743264 1.314954492423595),1.3149544924235945,103.76529887432638
15,16,ALJUNIED MRT STATION,EW9,POINT (103.8829060446604 1.316432611657838),1.316432611657838,103.88290604466043
16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984
17,18,EXPO MRT STATION,CG1/DT35,POINT (103.9615482107079 1.334549777837812),1.3345497778378117,103.96154821070795
18,19,CHOA CHU KANG MRT STATION,NS4,POINT (103.7443409461815 1.385361692828809),1.3853616928288095,103.74434094618154
19,20,JURONG EAST MRT STATION,EW24/NS1,POINT (103.7422865440047 1.333152619894065),1.3331526198940653,103.7422865440047
20,21,QUEENSTOWN MRT STATION,EW19,POINT (103.805884333892 1.294860932794988),1.2948609327949876,103.805884333892
21,22,TUAS LINK MRT STATION,EW33,POINT (103.6368786783488 1.340463765648207),1.340463765648207,103.63687867834884
22,23,GUL CIRCLE MRT STATION,EW30,POINT (103.660552955908 1.319505214938206),1.3195052149382063,103.66055295590799
23,24,WOODLANDS MRT STATION,NS9/TE2,POINT (103.7864851349074 1.436875128210755),1.4368751282107552,103.78648513490744
24,25,TUAS CRESCENT MRT STATION,EW31,POINT (103.6490754783089 1.321026553242265),1.3210265532422654,103.64907547830892
25,26,KALLANG MRT STATION,EW10,POINT (103.8713865413593 1.311488909642162),1.3114889096421625,103.87138654135926
26,27,TUAS WEST ROAD MRT STATION,EW32,POINT (103.6396140560304 1.329989089049135),1.3299890890491355,103.63961405603037
27,28,BUONA VISTA MRT STATION,EW21/CC22,POINT (103.7901915351737 1.307183466547333),1.307183466547333,103.79019153517372
28,29,DOVER MRT STATION,EW22,POINT (103.7786378416379 1.311405292925308),1.3114052929253077,103.77863784163793
29,30,SEMBAWANG MRT STATION,NS11,POINT (103.8200461405483 1.449050821227294),1.4490508212272943,103.82004614054829
30,31,KEMBANGAN MRT STATION,EW6,POINT (103.9129493883634 1.321038248851085),1.3210382488510848,103.9129493883634
31,32,BUKIT BATOK MRT STATION,NS2,POINT (103.7495667638523 1.349034108576673),1.3490341085766733,103.74956676385231
32,34,BOON LAY MRT STATION,EW27,POINT (103.706064622596 1.338604054503274),1.3386040545032738,103.70606462259597
33,35,BUKIT GOMBAK MRT STATION,NS3,POINT (103.751893502082 1.358761857261445),1.3587618572614455,103.75189350208203
34,36,MARSILING MRT STATION,NS8,POINT (103.7740714612621 1.432514420635642),1.4325144206356422,103.77407146126207
35,37,BEDOK MRT STATION,EW5,POINT (103.9299844946206 1.323979968887747),1.3239799688877467,103.92998449462056
36,38,JOO KOON MRT STATION,EW29,POINT (103.6783751428505 1.32771717309168),1.32771717309168,103.67837514285053
37,39,LAKESIDE MRT STATION,EW26,POINT (103.7209492684787 1.344259249394697),1.3442592493946972,103.72094926847875
38,40,TANAH MERAH MRT STATION,EW4,POINT (103.9463464606227 1.327187134538356),1.3271871345383557,103.94634646062272
39,41,YIO CHU KANG MRT STATION,NS15,POINT (103.8449472897542 1.381756046113004),1.3817560461130038,103.84494728975423
40,42,OASIS LRT STATION,PE6,POINT (103.9127273556308 1.402286677493708),1.402286677493708,103.91272735563076
41,43,SAM KEE LRT STATION,PW1,POINT (103.9048315505186 1.409612685086607),1.409612685086607,103.90483155051864
42,44,FARMWAY LRT STATION,SW2,POINT (103.8893048104357 1.397170196458043),1.3971701964580427,103.88930481043573
43,45,KUPANG LRT STATION,SW3,POINT (103.8812562219742 1.398212828397176),1.3982128283971755,103.88125622197416
44,46,RENJONG LRT STATION,SW8,POINT (103.8905394271551 1.386723921528),1.3867239215280003,103.8905394271551
45,47,BUKIT PANJANG LRT STATION,BP6,POINT (103.7630136337854 1.377909897982203),1.3779098979822033,103.76301363378538
46,48,FAJAR LRT STATION,BP10,POINT (103.7708085825086 1.384520796175224),1.3845207961752235,103.77080858250861
