Mall Name,LATITUDE,LONGITUDE
100 AM,1.27458821795426,103.84347073661
313@Somerset,1.30101436404056,103.838360664485
Aperia,1.3104736675734,103.86431321816
Balestier Hill Shopping Centre,1.32559594839311,103.842571612968
Bugis Cube,1.2981408343975,103.855635339249
Bugis Junction,1.29911287475873,103.855411173758
Bugis+,1.30095171530648,103.855172625542
Capitol Piazza,1.29307884763132,103.851261982149
Cathay Cineleisure Orchard,1.30146393496315,103.836463810773
The Centrepoint,1.30145045537088,103.840034074858
City Square Mall,1.3113827185663,103.856626855768
CityLink Mall,1.29260349413333,103.854316064564
Duo,1.29953434891664,103.85840168774
Far East Plaza,1.30730468891062,103.833818438639
Funan,1.29134759697794,103.849989790085
Great World City,1.29342272650003,103.832022146655
HDB Hub,1.33201387005935,103.84984949662
ION Orchard,1.30399286856099,103.831988903795
Junction 8,1.35017243180201,103.848553703258
Knightsbridge,1.3029831225958,103.836283923443
Liat Towers,1.30508722710852,103.830722581168
Lucky Plaza,1.3044637897474,103.834005158524
Marina Bay Sands,1.28466203640592,103.861005919029
The Shoppes at Marina Bay Sands,1.28423496027027,103.85898228297
Marina Bay Link Mall,1.28003113385646,103.854284863268
Marina Square,1.29159480494333,103.857048715656
Millenia Walk,1.29267926922552,103.860302888543
Ngee Ann City,1.3022727300848,103.834899517575
Orchard Central,1.30083890839245,103.839434733899
Orchard Gateway,1.30160116957544,103.838868886519
Orchard Plaza,1.30125729409965,103.841150144584
Midpoint Orchard,1.30178778502846,103.838659766022
Palais Renaissance,1.30665484543191,103.829588045188
People's Park Centre,1.28564781446701,103.843861556498
People's Park Complex,1.28404487854559,103.842590753293
Plaza Singapura,1.30082071769235,103.845067272938
Raffles City,1.29397670992871,103.853333627297
Scotts Square,1.30579942993543,103.833074706219
Sim Lim Square,1.30290658774258,103.853031869482
Singapore Shopping Centre,1.28649701803051,103.844628721032
The South Beach,1.29498804392056,103.856276242094
Square 2,1.27822949964567,103.850812513482
Sunshine Plaza,1.30046735366415,103.850556061949
Suntec City,1.29350132535558,103.857307495824
Tanglin Mall,1.30485342102105,103.823883490852
